SMP NEGERI 1 SEDAYU,-7.8035,110.2739
SMP NEGERI 2 DEPOK,-7.7553,110.408
SMP NEGERI 3 PATUK,-7.871895,110.5198567
SMP NEGERI 2 SEWON,-7.8475,110.3587
SMP NEGERI 3 DEPOK,-7.7612,110.4281
SMP NEGERI 2 KALIBAWANG,-7.6887,110.2568
SMP NEGERI 1 BERBAH,-7.7904,110.4592
SMP NEGERI 4 NGLIPAR,-7.8857317,110.5991883
SMP NEGERI 1 PAKEM,-7.659735,110.4218733
SMP NEGERI 5 BANGUNTAPAN,-7.8457,110.4275
SMP NEGERI 1 PANGGANG,-8.0157,110.4185
SMP NEGERI 2 NANGGULAN,-7.7829,110.2174
SMP NEGERI 1 IMOGIRI,-7.9179,110.3824
SMP NEGERI 2 PONJONG,-8.0177,110.7427
SMP NEGERI 3 TURI,-7.6248433,110.3911716
SMP NEGERI 1 YOGYAKARTA,-7.7776,110.3754
SMP NEGERI 3 PRAMBANAN,-7.8,110.5301
SMP NEGERI 2 KRETEK,-7.996055,110.31359
SMP NEGERI 1 MINGGIR,-7.7148,110.259
SMP NEGERI 9 YOGYAKARTA,-7.8198,110.3977
SMP NEGERI 2 CANGKRINGAN,-7.62595,110.4542233
SMP NEGERI 2 IMOGIRI,-7.9463,110.3752
SMP NEGERI 1 TANJUNGSARI,-8.1117,110.562
SMP NEGERI 2 TEMPEL,-7.701845,110.2837233
SMP NEGERI 1 GIRISUBO,-8.1533,110.7698
SMP NEGERI 1 NGLIPAR,-7.880025,110.6194217
SMP NEGERI 1 KRETEK,-7.97735,110.3128783
SMP NEGERI 1 BANTUL,-7.8947,110.3387
SMP NEGERI 2 SAMIGALUH,-7.6603,110.1576
SMP NEGERI 14 YOGYAKARTA,-7.7869,110.3597
SMP NEGERI 3 PAKEM,-7.6689316,110.4121233
SMP NEGERI 1 GODEAN,-7.7623,110.2909
SMP NEGERI 4 BANGUNTAPAN,-7.8468,110.3838
SMP NEGERI 5 PANGGANG,-7.974,110.4218
SMP NEGERI 1 MOYUDAN,-7.7861,110.2705
SMP NEGERI 2 KOKAP,-7.8075,110.1094
SMP NEGERI 2 PATUK,-7.8699433,110.5236467
SMP NEGERI 1 RONGKOP,-8.0795,110.7635
SMP NEGERI 1 KALASAN,-7.7667,110.4713
SMP NEGERI 4 SAMIGALUH,-7.6743,110.1346
SMP NEGERI 1 TEMON,-7.8861,110.075
SMP NEGERI 2 NGAGLIK,-7.7161,110.407
SMP NEGERI 3 GODEAN,-7.7816,110.3169
SMP NEGERI 1 MLATI,-7.7417,110.3228
SMP NEGERI 3 BANGUNTAPAN,-7.8575,110.4169
SMP NEGERI 4 PATUK,-7.8358817,110.5264683
SMP NEGERI 3 KALASAN,-7.7586,110.4489
SMP NEGERI 1 SEWON,-7.8611,110.3537
SMP NEGERI 3 NGLIPAR,-7.8658,110.6602
SMP NEGERI 1 NGAGLIK,-7.6876,110.3878
SMP NEGERI 2 NGLIPAR,-7.8632,110.6365
SMP NEGERI 13 YOGYAKARTA,-7.8197,110.3603
SMP NEGERI 2 PENGASIH,-7.8716,110.1962
SMP NEGERI 3 PANDAK,-7.9017,110.2992
SMP NEGERI 2 PAJANGAN,-7.8582,110.2727
SMP NEGERI 1 WONOSARI,-7.96505,110.6046133
SMP NEGERI 12 YOGYAKARTA,-7.7865,110.36
SMP NEGERI 1 PENGASIH,-7.8436,110.1682
SMP NEGERI 1 SEYEGAN,-7.7227,110.3086
SMP NEGERI 1 GIRIMULYO,-7.7722,110.1849
